id,left,top,right,bottom,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,lon,lat
2427,1125612.527900000102818,1685197.949100000085309,1126112.527900000102818,1684697.949100000085309,"26",Busan,何魂堡开矫,128.8818034000,35.1519057800
2428,1125612.527900000102818,1684697.949100000085309,1126112.527900000102818,1684197.949100000085309,"26",Busan,何魂堡开矫,128.8817272000,35.1473984800
2429,1125612.527900000102818,1684197.949100000085309,1126112.527900000102818,1683697.949100000085309,"26",Busan,何魂堡开矫,128.8816510000,35.1428911800
2430,1125612.527900000102818,1683697.949100000085309,1126112.527900000102818,1683197.949100000085309,"26",Busan,何魂堡开矫,128.8815748000,35.1383838800
2431,1125612.527900000102818,1683197.949100000085309,1126112.527900000102818,1682697.949100000085309,"26",Busan,何魂堡开矫,128.8814987000,35.1338765800
2432,1125612.527900000102818,1682697.949100000085309,1126112.527900000102818,1682197.949100000085309,"26",Busan,何魂堡开矫,128.8814225000,35.1293692700
2433,1125612.527900000102818,1682197.949100000085309,1126112.527900000102818,1681697.949100000085309,"26",Busan,何魂堡开矫,128.8813464000,35.1248619600
2434,1125612.527900000102818,1681697.949100000085309,1126112.527900000102818,1681197.949100000085309,"26",Busan,何魂堡开矫,128.8812703000,35.1203546400
2435,1125612.527900000102818,1681197.949100000085309,1126112.527900000102818,1680697.949100000085309,"26",Busan,何魂堡开矫,128.8811942000,35.1158473200
2436,1125612.527900000102818,1680697.949100000085309,1126112.527900000102818,1680197.949100000085309,"26",Busan,何魂堡开矫,128.8811181000,35.1113400000
2437,1125612.527900000102818,1680197.949100000085309,1126112.527900000102818,1679697.949100000085309,"26",Busan,何魂堡开矫,128.8810421000,35.1068326800
2438,1125612.527900000102818,1679697.949100000085309,1126112.527900000102818,1679197.949100000085309,"26",Busan,何魂堡开矫,128.8809660000,35.1023253500
2439,1125612.527900000102818,1679197.949100000085309,1126112.527900000102818,1678697.949100000085309,"26",Busan,何魂堡开矫,128.8808900000,35.0978180100
2440,1125612.527900000102818,1678697.949100000085309,1126112.527900000102818,1678197.949100000085309,"26",Busan,何魂堡开矫,128.8808140000,35.0933106800
2441,1125612.527900000102818,1678197.949100000085309,1126112.527900000102818,1677697.949100000085309,"26",Busan,何魂堡开矫,128.8807380000,35.0888033400
2442,1125612.527900000102818,1677697.949100000085309,1126112.527900000102818,1677197.949100000085309,"26",Busan,何魂堡开矫,128.8806576000,35.0842992700
2443,1125612.527900000102818,1677197.949100000085309,1126112.527900000102818,1676697.949100000085309,"26",Busan,何魂堡开矫,128.8806550000,35.0808665100
2446,1125612.527900000102818,1675697.949100000085309,1126112.527900000102818,1675197.949100000085309,"26",Busan,何魂堡开矫,128.8801848000,35.0661127000
2447,1125612.527900000102818,1675197.949100000085309,1126112.527900000102818,1674697.949100000085309,"26",Busan,何魂堡开矫,128.8790459000,35.0638434700
2526,1126112.527900000102818,1692197.949100000085309,1126612.527900000102818,1691697.949100000085309,"26",Busan,何魂堡开矫,128.8884257000,35.2136066500
2527,1126112.527900000102818,1691697.949100000085309,1126612.527900000102818,1691197.949100000085309,"26",Busan,何魂堡开矫,128.8882875000,35.2104374300
2528,1126112.527900000102818,1691197.949100000085309,1126612.527900000102818,1690697.949100000085309,"26",Busan,何魂堡开矫,128.8882108000,35.2059301900
2529,1126112.527900000102818,1690697.949100000085309,1126612.527900000102818,1690197.949100000085309,"26",Busan,何魂堡开矫,128.8881340000,35.2014229500
2530,1126112.527900000102818,1690197.949100000085309,1126612.527900000102818,1689697.949100000085309,"26",Busan,何魂堡开矫,128.8880573000,35.1969157000
2531,1126112.527900000102818,1689697.949100000085309,1126612.527900000102818,1689197.949100000085309,"26",Busan,何魂堡开矫,128.8879807000,35.1924084500
2532,1126112.527900000102818,1689197.949100000085309,1126612.527900000102818,1688697.949100000085309,"26",Busan,何魂堡开矫,128.8879040000,35.1879012000
2533,1126112.527900000102818,1688697.949100000085309,1126612.527900000102818,1688197.949100000085309,"26",Busan,何魂堡开矫,128.8878273000,35.1833939500
