gid,lbl,lon,lat,val,����ȸ����,�ְ�����,sum,����
마라3885,24485.0,129.0205972,35.15522045,0.7344692083870773,-0.0,0.25329481855930674,0.9877640269463841,23
마라3679,19044.0,128.9976551,35.10140907,0.5712571617122115,-0.0,0.415417945477523,0.9866751071897345,24
마라4078,19090.0,129.0413588,35.09184503,0.5726370099289078,-0.0,0.41397364145152554,0.9866106513804334,25
마라4383,18107.0,129.0751268,35.13649152,0.543150253472118,-0.0,0.44195703195522656,0.9851072854273446,26
마라4589,24551.0,129.0981301,35.19028633,0.7364489906110326,-0.0,0.2453511464163206,0.9818001370273532,27
마라3991,29665.0,129.0325879,35.2091658,0.8898521162672105,-0.0,0.07889510742011192,0.9687472236873225,28
마라4688,24523.0,129.1089322,35.18112731,0.7356090830008698,-0.0,0.231991334175844,0.9676004171767139,29
마라4291,19952.0,129.065536,35.20874417,0.5984941656417793,-0.0,0.3654089185773605,0.9639030842191398,30
마라4287,24453.0,129.0648443,35.17268904,0.7335093139754626,-0.0,0.22783896010110127,0.9613482740765639,31
마라4489,28012.0,129.0871501,35.19043076,0.8402675705672374,-0.0,0.11391948005055064,0.9541870506177881,32
마라4488,19294.0,129.0869748,35.18141706,0.5787563368029516,-0.0,0.36956129265210325,0.9483176294550548,33
마라4494,23285.0,129.0880277,35.23549902,0.6984731679515253,-0.0,0.2476981404585665,0.9461713084100918,34
마라4187,18825.0,129.0538666,35.17283039,0.5646878843327233,-0.0,0.3744358187398447,0.9391237030725681,35
마라4492,24841.0,129.0876765,35.21747176,0.7451480337162911,-0.0,0.19064813143166637,0.9357961651479575,36
마라3780,11562.0,129.0087897,35.1102872,0.34682184959654433,-0.0,0.5854847445387253,0.9323065941352697,37
마라4496,27381.0,129.0883793,35.25352623,0.8213396526382096,-0.0,0.10308719985556959,0.9244268524937792,38
마라4686,21172.0,129.108577,35.16310007,0.6350901400845906,-0.0,0.2829030510922549,0.9179931911768455,39
마라4382,7447.0,129.0749532,35.1274777,0.22338542760296365,-0.0,0.6916410904495396,0.9150265180525032,40
마라3986,23850.0,129.0317417,35.16409615,0.7154213036565976,-0.0,0.19823072756815308,0.9136520312247507,41
마라5287,28747.0,129.1746176,35.17122085,0.8623151453340131,-0.0,0.04675934284166817,0.9090744881756813,42
마라4482,17294.0,129.0859247,35.1273346,0.5187629360770314,-0.0,0.38996208701931756,0.908725023096349,43
마라4495,26328.0,129.0882035,35.24451263,0.7897531271560126,-0.0,0.11879400613829211,0.9085471332943047,44
마라4493,22498.0,129.0878521,35.2264854,0.6748657647658757,-0.0,0.21989528795811517,0.8947610527239909,45
마라4590,19653.0,129.0983066,35.19929996,0.5895251522332542,-0.0,0.29680447734248055,0.8863296295757348,46
마라4682,26397.0,129.1078676,35.12704542,0.791822899481057,-0.0,0.08557501354035024,0.8773979130214072,47
마라5286,24851.0,129.1744328,35.16220752,0.7454480007199207,-0.0,0.12493229824878137,0.8703802989687021,48
마라4583,21989.0,129.0970722,35.13620423,0.659597444281129,-0.0,0.20996569777938254,0.8695631420605116,49
