gid,lbl,val,lon,lat,����ȸ����,�ְ�����
마라3489,"25.00",25.0000000000000000000000000000000,128.9773464000,35.1918203200,0.000000000000000,0.000000000000000
마마5602,"9.00",9.0000000000000000000000000000000,129.2213796000,35.3058009200,0.000000000000000,4.000000000000000
마라4193,"6.00",6.0000000000000000000000000000000,129.0548972000,35.2269132800,0.000000000000000,0.000000000000000
마라3678,"13547.00",13547.0000000000000000000000000000000,128.9974902000,35.0923948600,0.000000000000000,845.000000000000000
마마6106,"545.00",545.0000000000000000000000000000000,129.2771415000,35.3410561700,0.000000000000000,38.000000000000000
마라2381,"9.00",9.0000000000000000000000000000000,128.8553572000,35.1211165000,0.000000000000000,0.000000000000000
마라3274,"10.00",9.9999999999999982236431605997495,128.9529810000,35.0568711400,0.000000000000000,0.000000000000000
마라5697,"9318.00",9318.0000000000000000000000000000000,129.2204258000,35.2607362200,0.000000000000000,106.000000000000000
마라3988,N/A,0.0000000000000000000000000000000,129.0320800000,35.1821240500,0.000000000000000,0.000000000000000
마라5793,"1327.00",1327.0000000000000000000000000000000,129.2306482000,35.2245276300,0.000000000000000,483.000000000000000
마라3876,"4785.00",4785.0000000000000000000000000000000,129.0190903000,35.0740936500,0.000000000000000,802.000000000000000
마라3280,"4265.00",4265.0000000000000000000000000000000,128.9539406000,35.1109575800,0.000000000000000,30.000000000000000
마라5496,"42.00",42.0000000000000000000000000000000,129.1982602000,35.2520337100,0.000000000000000,10.000000000000000
마라2482,"47.00",47.0000000000000000000000000000000,128.8664795000,35.1300079800,0.000000000000000,48.000000000000000
마라4988,"54.00",54.0000000000000000000000000000000,129.1418677000,35.1806852100,0.000000000000000,16.000000000000000
마라3791,"18676.00",18676.0000000000000000000000000000000,129.0106222000,35.2094419000,0.000000000000000,1353.000000000000000
마마5906,"97.00",97.0000000000000000000000000000000,129.2551428000,35.3413776700,0.000000000000000,58.000000000000000
마라2083,N/A,0.0000000000000000000000000000000,128.8227330000,35.1395098200,0.000000000000000,0.000000000000000
마라3581,N/A,0.0000000000000000000000000000000,128.9870141000,35.1195725500,0.000000000000000,1.000000000000000
마라2778,"76.00",76.0000000000000000000000000000000,128.8987817000,35.0935739700,0.000000000000000,38.000000000000000
마라3777,"6300.00",6300.0000000000000000000000000000000,129.0082915000,35.0832447100,0.000000000000000,1130.000000000000000
마라4397,"25.00",25.0000000000000000000000000000000,129.0775655000,35.2626836300,0.000000000000000,2.000000000000000
마라3980,"19011.00",19011.0000000000000000000000000000000,129.0307288000,35.1100121000,0.000000000000000,4181.000000000000000
마라2589,"14.00",14.0000000000000017763568394002505,128.8785169000,35.1929858400,0.000000000000000,11.000000000000000
마라4888,"5812.00",5812.0000000000000000000000000000000,129.1308893000,35.1808335700,0.000000000000000,429.000000000000000
마라2084,"10.00",9.9999999999999982236431605997495,128.8228789000,35.1485246400,0.000000000000000,0.000000000000000
마라5286,"24851.00",24851.0000000000000000000000000000000,129.1744328000,35.1622075200,0.000000000000000,692.000000000000000
마마5809,"168.00",168.0000000000000000000000000000000,129.2447250000,35.3685750800,0.000000000000000,90.000000000000000
마라3279,"6945.00",6945.0000000000000000000000000000000,128.9537805000,35.1019432100,0.000000000000000,214.000000000000000
마라3673,N/A,0.0000000000000000000000000000000,128.9966670000,35.0473236100,0.000000000000000,0.000000000000000
마라2791,"14.00",14.0000000000000017763568394002505,128.9007891000,35.2107626800,0.000000000000000,0.000000000000000
마라2877,"9199.00",9199.0000000000000000000000000000000,128.9095944000,35.0844323600,0.000000000000000,20.000000000000000
마라3685,"14343.00",14343.0000000000000000000000000000000,128.9986458000,35.1554940200,0.000000000000000,823.000000000000000
마라4192,N/A,0.0000000000000000000000000000000,129.0547252000,35.2178995000,0.000000000000000,0.000000000000000
마마5907,"170.00",170.0000000000000000000000000000000,129.2553378000,35.3503903500,0.000000000000000,143.000000000000000
